id,title,birth_date,death_date,bio
36890,Lenore Tawney,1907,2007,
38477,"all(zone) Co., Itd.",,,
74533,Ed Moulthrop,1919,2003,
44185,Louis Emmanuel Soulange-Teissier,1814,1898,
10222,Denise Green,1946,,
41387,Willem Doudijns,1630,1697,
70823,Gustav G. Klutsis,1895,1938,
114634,Matthäus Greuter,,,
116609,Zuri Washington,,,
115926,Hu Gongshou,1823,1886,
65288,Raoul Hausmann,1886,1971,
74499,Claude Bogratchew,1936,,
108247,Severo da Ravenna,,,
79751,Rebecca Medel,1947,,
37151,David Vestal,1924,,
118617,Robbie Miller,1955,,
106609,Raimond Laverdin,,,
14631,Johann Ladenspelder,1512,1561,
14261,Uehara Konen,1878,1940,
46911,Circle of Anthonie van Dyck,1599,1641,
26310,Tobari Kogan,1882,1927,
9140,Carl Gaertner,1898,1952,
115475,Ellen Gronemeyer,1979,,
101573,Oda Mayumi,1941,,
90231,Alan Magee,1947,,
26605,Benjamin Trott,1765,1841,
59308,Anne Truitt,1921,2004,
110698,Alison Rossiter,1953,,
3058,Harry Bowers,1938,,
35029,William Morris Hunt,1824,1879,"American painter whose work was influenced by French artists of the time, and his genre paintings are romantic and somewhat sentimental, as seen in The Bathers 1877. He was born in Brattleboro, Vermont, the brother of Richard Morris Hunt, a celebrated architect. He studied in Germany 1845-46 and Paris 1846-55 before settling in Boston in 1862. His first aspirations for art were in the direction of sculpture, and he entered the Royal Academy at Düsseldorf in 1846, with that purpose in view. But after a few months this taste gave place to a preference for painting, and he became a pupil of Couture at Paris, subsequently coming under the influence of Millet, whose broad method of tendering humanity and nature was henceforth suggested in the style of Hunt. In 1855 he returned to the United States and had a studio in Newport, but soon settled permanently in Boston, where he taught art with great success. Among his important works are portraits of Chief-Justice Shaw, painted for the Essex bar, Judge Horace Gray, Mrs. Charles Francis Adams, William M. Evarts. James Freeman Clarke, and Charles Sumner. His compositions, generally single figures broadly and forcibly rendered, include the Prodigal Son, Priscilla, The Drummer Boy (1861); Fortune Teller, Marguerite, and The Bathers, which is one of his best known works. Chief among his landscapes are Gloucester Harbor and Plowing, combining landscape and figure. Toward the close of his life Hunt executed two ambitious allegorical mural paintings for the state capitol at Albany, entitled The Flight of Night and The Discoverer. "
105863,Tewa,,,
15866,Walter MacEwen,1860,1943,
44869,Jacob Frey,1757,1811,
19516,Margaret Jane O'Connor,1922,2008,
32646,Matteo Rosselli,1578,1650,"Italian painter. An influential artist of the early 17th century in Florence, he is described by the early sources as being of a gentle disposition and as a dedicated and dignified painter, although he lacked originality and power. His work is characterized by the simplicity, descriptive naturalism and refined colour of the Counter-Reformation art created by such Tuscan artists as Santi di Tito, Bernardino Poccetti, Lodovico Cigoli and Domenico Passignano, yet he was also responsive to Venetian and Emilian art. The son of Alfonso Rosselli and Elena Coppi, he received his early education in Gregorio Pagani's studio, which he attended from as early as 1587. His initial inclination was towards classical and balanced compositions, in which the influence of Andrea del Sarto, whose frescoes he copied in the Chiostro dello Scalzo, is clear. On 26 February 1599 he was admitted to the Accademia del Disegno and in 1605 went to be with Passignano in Rome for six months, greatly enriching his artistic experiences through this contact. He returned to Florence in the same year and, on Pagani's death (1605), completed his master's unfinished works with great success. Pagani's influence can be seen in the bright colours of Rosselli's Adoration of the Magi (1607; Montevarchi, Arezzo, S Andrea). To 1610 belong two monochrome paintings depicting Henry IV at Nantes and Henry IV at Gaudebec (Florence, Pitti, repository), executed for the funerary ceremonies that took place in S Lorenzo on the death of the French sovereign. Rosselli's interest in fluent, fresh and richly anecdotal narrative, indebted to Poccetti, is already evident in these works. In his Crucifixion (1613; Scarperia, Prepositurale), still within a Florentine tradition, there is a more varied chiaroscuro and a more expressive and softer handling, which suggests a response to Coreggio, whose art he probably knew through Pagani. His interest in anecdote found its full expression in the lunettes (1614-18) depicting scenes from the lives of the founders of the Servite Order in the Chiostro dei Morti of the church of the Annunziata, Florence, and is also demonstrated, in combination with the brilliant colour of his earlier paintings, inspired by Lodovico Cigoli, in his Last Supper (1614; Florence, Conservatorio di S Pier Martire). To 1615 belongs the painting of the Fortifications of San Miniato, the first of three scenes (the others were completed in 1627 and 1628) drawn from the life of Michelangelo whose nephew, Michelangelo Buonarroti the younger, commissioned them for the Casa Buonarroti, Florence. Here the rhetorical gestures are softened by the realism of the facial expressions and by the landscape, which is enriched by lively figures in the background. From 1619 Rosselli won the patronage of such important families as the Medici, the Corsini and the Dragomanni, and his activity increased. For the reception rooms of the villa at Poggio Imperiale he executed frescoes portraying the emperors Charles V, Frederick II and Maximilian I as well as biblical and historical heroines, datable to between 1619 and 1623. He took part in the frescoed decoration (1620) of the façade of the Palazzo dei dell'Antella in Piazza Santa Croce, Florence, and in 1621 won the commission for the Triumph of David (Florence, Pitti) and for the pair of paintings depicting Lot and his Daughters and Tobias and the Angel (1621; Florence, Galleria Corsini). The Triumph of David is a successful work, with skilled chiaroscuro and a disciplined yet intense atmosphere; the latter two works are characterized by more idealized figures, more classical compositions, and a greater delicacy of handling. These qualities distinguish this period of the artist's work. Further decorations (1622-3) were commissioned by Leopoldo de' Medici for the Casino di S Marco; these works, rich in echoes of Venetian art, depict the Rebuilding of the Port of Livorno by Frederick II and the Capture of Ippona (Florence, Corte d'Assise). Leopoldo also commissioned from Rosselli the allegorical paintings (1622) in the Sala della Stufa in Palazzo Pitti. "
115530,Jeanne Deny,,,
54490,Wolfgang Laib,1950,,
35479,Liberty & Co.,,,
48149,Christian August Günter,1759,1824,
40579,"Frans Floris, I",1516,1570,
8244,Ferdinand Ferdinand,,,
100362,Tony Feher,1956,2016,
46507,School of Francesco Monti,1646,1712,
114771,Verry Fils,,,
115863,Jim Stricklin,1934,2021,
36605,Maekawa Senpan,1888,1960,
34638,Giuseppe Gherardi,1788,1884,
111573,Soshu,,,
105160,Charles Atlas,1958,,
43705,Leonard Urso,1953,,
5026,George Cohen,1919,1999,
34268,Carlo Dolci,1616,1686,"He was the leading painter in Florence in the mid-17th century, and an exponent of the restrained style of Late Baroque comparable with Sacchi's Roman works. Dolci was extremely precocious and one of his finest pictures is the portrait, painted when he was 16, of Fra Ainolfo dei Bardi (1632, Florence, Pitti). Nevertheless, he later became very neurotic and felt himself to be professionally inadequate. Most of his later works are small devotional pictures often painted on copper in an extremely finicky and detailed manner. When Giordano was in Florence in 1682 he said jokingly that his own virtuoso style had brought him a fortune of 150,000 scudi, but that by spending so much time on his works Dolci would starve; an idea that preyed on Dolci's mind. One of his best works is the Martyrdom of St Andrew of 1646 (Florence, Pitti), for which there is a sketch of 1643 in Birmingham. There are also two splendid portraits in Cambridge (Fitzwilliam Museum). Other works are in Glasgow, London (National Gallery, Victoria and Albert Museum, Wallace Collection. and Dulwich) and Oxford. "
22646,Robert Ryman,1930,2019,
20155,Pauline Pottery,,,
46383,School of T. Parker,,,
41446,Peter van Lint,1609,1690,
30856,Thomas Dane,1726,1800,
31744,Erik Kollin,1836,1901,
33779,George Elmer Browne,1871,1946,
59975,Shawn Walker,,,
17676,Domenico Morelli,1826,1901,"Italian painter and teacher. Unique among his Italian colleagues in enjoying an international reputation in his lifetime, he was, with Filippo Palizzi, the leading exponent of the Neapolitan school of painting in the second half of the 19th century and a major figure in the artistic and cultural life of Italy. He studied at the Academy of Arts in Naples. His early works are Romantic and contain imagery drawn from the Middle Ages and Byron. In 1848 he won a fellowship to study in Rome. Morelli visited Florence in the 1850s where he received his first public recognition for The Iconoclasts. He participated in the Universal Exposition in Paris in 1855 and, later, in Florence was an active participant in the Macchiaioli discussions on Realism. By the mid-1860s Morelli was one of the best-known Italian painters of the times. In 1868, Morelli became a professor of painting at his old school, the Royal Academy of Fine Arts in Naples. From that period onward, his interest turned to religious, mystical and supernatural themes, drawn from Christian, Jewish and even Muslim sources. Perhaps best-known from this period is the Assumption on the ceiling of the Royal Palace in Naples. From 1899 until his death, he was president of the Royal Academy of Fine Arts in Naples. His realistic treatment of Romantic subjects revitalized academic painting, and his bold rendering of light and dark and his use of colour influenced both academic artists and more innovative painters such as the Macchiaioli. Morelli's paintings deal primarily with religious, historical, and literary subjects. They are marked by an intense, dramatic treatment of subject and, at the same time, by a realistic rendering of the details of everyday life. "
22538,Louis Charles Ruotte,1754,1811,
14959,Henri-Eugène Le Sidaner,1862,1939,
116598,Daniele Vickers,,,
31314,Jean Goujon,1510,1570,"French sculptor. He ranks second only to Germain Pilon as the greatest French sculptor of the 16th century and he created a distinctive Mannerist style as sophisticated as the finest works of painting and decoration of the contemporary School of Fontainebleau. Nothing is known of his early life and he is first recorded in 1540 as the carver of the fine columns supporting the organ loft in the church of S. Maclou at Rouen. The pure classicism of these columns has caused some critics to assume that he had first-hand knowledge of Italian art. He had moved to Paris by 1544, when he was working on the screen of St. Germain-l'Auxerrois, in collaboration with the architect Pierre Lescot. Low-relief panels (now in the Louvre) from this screen show that Goujon had evolved a style of extreme grace and delicacy, owing something to the influence of Benvenuto Cellini. The style is seen at its most mature in his decorations (now in the Louvre) for the Fontaine des Innocents, Paris (1547-49). The six relief panels of nymphs from the fountain, with their exquisitely carved rippling draperies, are generally considered his masterpieces. Goujon's most extensive undertaking was on the sculptural decoration of the Louvre; he worked there from 1549 to 1562 in collaboration with Lescot, mainly on decorative panels forming part of the architectural scheme. Unfortunately all Goujon's work there has been heavily restored, including the famous caryatids (1550-51) in the Salle des Caryatides. Using caryatids on a monumental scale was a novelty, perhaps inspired by his reading of Vitruvius (he made illustrations for the first French edition of his treatise in 1547). There is no indication of any work executed after 1562 and it is possible that Goujon left France because of religious persecution and died in Bologna (the documentation is ambiguous). "
53928,Powell Kleinschmidt,,,
50607,Carolyn Brady,1937,2005,
26828,L. Umbach,,,
32492,L. Stewart Powers,1835,1904,
117223,Thomas Richard Williams,,,
103630,Insun Cho,1901,2001,
24546,Pierre Soulages,1919,2022,
40607,Marvin Glass,1926,,
75549,Tuareg,,,
19668,Ono Tadashige,1909,1990,
59426,Mary Ann Unger,1945,,
117366,Lynn Meyers,1952,,
55813,Harold Gregor,1929,,
19687,Marcel Ordinaire,1848,1896,
30440,George Angell,,,
42285,William Johnstone White,,,
16122,Margaret Manuel,,,
40742,"Edward Pierce, the younger",1625,1695,
41850,"Sébastien Le Clerc, the elder",1637,1714,
118139,Jesse Mockrin,,,
110509,Vladimir Kagan,1927,,
34950,Utagawa Hiroshige II (Shigenobu),1826,1869,
28973,Wood and Hughes,,,
116577,Joan Waltemath,,,
50312,Bill Bollinger,1939,1988,
12161,Lawrence Hudetz,1937,,
44701,Claire Falkenstein,1908,1997,
25212,Robert Matthew Sully,1803,1855,
41503,Lodewijk Toeput,1540,1613,"Lodewijk Toeput (Lodovico Pozzoserrato, Pozzo da Treviso), Flemish painter and draughtsman, active in Italy. He was apparently a pupil of Marten de Vos and went to Italy probably after 1573. In Venice he presumably joined Tintoretto's workshop. Toeput may have witnessed the event he commemorated in his Fire in the Doge's Palace (1577; Treviso, Museo Civico Bailo). Either before or after this commission, he made six landscape frescoes (c. 1575 or 1577-79) for the abbey of Praglia, which reveal a strong adherence to Flemish conventions. Some years later he painted three frescoes in the church of S Giustina in Padua. He was in Florence in the late 1570s and visited Rome in 1581; by February 1582 he is documented in Treviso, near Venice, where he settled. He remained in close contact with Venetian masters, particularly through another Flemish artist active there, Pauwels Franck (1540-96), whose influence is evident in Toeput's representation of the Four Seasons (c. 1584; private collection), of which two tondi versions exist, which are attributed to Toeput (e.g. Providence, Rhode Island School of Design Museum of Art, and private collection). Around 1585 he painted a friezelike series: two canvases (in situ), each with two biblical scenes, for the chapel of the Rettori in the church of the Monte di Pieta in Treviso. These compositions were inspired by Netherlandish engravings and works by Tintoretto and Jacopo and Leandro Bassano. Probably dating from the same time is Susanna and the Elders (private collection). One of Toeput's favourite motifs was a formal Mannerist garden containing trellises and sculptures, which he included in Dives and Lazarus (Kassel, Schloss Wilhelmshöhe). It also appears in his versions of the Banquet in the Open Air (private collection) and in his Outdoor Concert. Only a few of Toeput's church paintings mentioned in early literature survive in Treviso, in the churches of S Leonardo, S Maria Maggiore and S Agostino; similarly the surviving frescoes are scarce and in a poor state of preservation. Around 1590 Toeput painted six landscapes representing The Months for the Villa Chiericati-Magna, Vicenza, and in 1593 he decorated the interior of the Scuola dei Battuti in nearby Conegliano with figures of sibyls and prophets and Old Testament scenes. "
7670,Elliott & Fry,,,
34403,Elizabeth Engelhard,1893,1995,
112867,Muto Katei,1910,,
36594,Arthur Secunda,1927,,
87665,Sam Fein,1953,,
58372,Ethel Spears,1903,1974,
44351,Charles Frederick Surendorf,1906,1979,
12531,Marvin Israel,1924,,
102534,Naoko Serino,1962,,
41153,F. O. Merlin,,,
17733,Malcolm Morley,1931,2018,
20440,"Johann Adreas Pfeffel, I",1674,1748,
34053,Charles Courtry,1846,1897,
13009,Carol Ann Johnson,,,
30769,Chuck Close,1940,2021,
33846,Luca Cambiaso,1527,1585,"Genoese painter. He was a precocious artist (his highly accomplished frescos in the Doria Palace, now the Prefettura, in Genoa were done in 1544, when he was only 17) and he became the dominating figure in 16th century Genoese painting, running a large and productive workshop. His style derives from Michelangelo in the massiveness of his figures and Correggio in the softness of his modelling, but the use of dry paint and the simplification of forms are his own. The latter is particularly noticeable in his drawings, which often utilize geometrical forms that give them a superficially Cubist look. Another curious instance of antecedence is apparent in his night scenes, which have been claimed as sources for Georges de La Tour, even though it is not clear by what route they could have become known to him. In 1583 Luca accepted an invitation from Philip II of Spain to work on decorations at the Escorial. He died there in 1585 and was succeeded by Federico Zuccaro and then Pellegrino Tibaldi. "
66559,Christian Spor,,1485,
30339,Huacho,,,
111898,M. Pass,,,
56415,Allan Gwynne-Jones,1892,1982,
118640,Qualeasha Wood,1996,,
20293,William Penstone,,,
101932,Yu Qihui,1934,,
40892,Adolphe Léon Willette,1857,1926,
34680,Eliza Godfrey,,,
52456,Carmen Cicero,1926,,
35992,Otto Neumann,1895,1975,
80773,Mennecy Factory,,,
44582,Somada Mitsumine,,,
25091,Frederic Strothmann,1879,1958,
44428,Lillian Richter,1915,2000,
72849,S A,,,
1874,Curtis Bean,,,
115971,Vojtech Tittelbach,1900,1971,
33515,Dirk Baksteen,1886,1971,
36717,Francis Hopkinson Smith,1838,1915,
35838,Giovanni Battista Moroni,1520,1578,"Italian painter, son of an architect, Andrea Moroni. Moroni was one of the greatest, albeit the shyest, portrait painters of the sixteenth century. He trained under Moretto in Brescia and worked mainly in his home town of Albino and in nearby Bergamo. His style was based closely on that of his master, but whereas his religious and allegorical paintings are generally heavy-handed, his portraits are worthy successors to Moretto's. They are remarkable for their psychological penetration, dignified air, and exquisite silvery tonality. The National Gallery, London, has the best collection of his work, including the celebrated portrait known as The Taylor. After serving his apprenticeship with Moretto in Brescia, Giovan Battista Moroni spent nearly all his career in and around Bergamo, where he continued Lotto's tradition. The only deviance to this were two periods spent in Trento (1548 and 1551) when the Council of Trent was in session. On both occasions Moroni painted a number of works (including the Altarpiece of the Doctors of the Church for the church of S. Maria Maggiore). It was during his stays in Trento that he also made contact with the Madruzzo family and with Titian. From the 1550s onwards, in fact, Moroni was often commissioned as an alternative portraitist to Titian. A whole stream of provincial lords and ladies took it in turns to sit for him. The result is a series of portraits of people full of dignified humanity and concrete in every sense. Heroism is not in their vocabulary, but they are all well grounded in everyday life. His religious paintings are rarer, but we should at least mention The Last Supper in the parish church at Romano in Lombardy. "
42905,Richard Loslo,1947,,
43617,Richard Snyder,1951,,
5071,Edward Colker,1927,,
36202,Evert Pieters,1856,1932,
74071,A. J. Defehrt,1723,1774,
25584,Prentice Taylor,1907,1991,
43752,Symonds Family Shop,,,
44097,Pewabic Pottery Company,,,
46550,Style of Thomas Willeboirts,1614,1654,
20786,Nicolas Ponce,1746,1831,
114726,"Terence, (Publius Terentius Afer)",,,
108705,Wojciech Jaskólka,1954,,
34395,George Grant Elmslie,1871,1952,
115834,Malkit Shoshan,1976,,
112758,Lars Müller,1955,,
37413,Claire Zeisler,1903,1991,
64071,Waldo Peirce,1884,1970,
19541,Oberkampf et Widmer,,,
37043,Joseph Mallord William Turner,1775,1851,"English painter, one of the greatest and most original of all landscape painters. His family called him Bill or William, but he is now invariably known by his initials. Precociously gifted, he became a student at the Royal Academy Schools in 1789 and first exhibited a watercolour at the Academy in 1790, when he was only 15. He studied at the Academy for four years, and during this time also had lessons from Thomas Malton (1748-1804), a topographical watercolourist who specialized in neat and detailed town views. From 1791 Turner began making regular sketching tours, producing many drawings of picturesque views and architectural subjects that he later sold to engravers or worked up into watercolours. At this time his work was more polished but less inventive than that of his friend Girtin (with whom he worked for Dr Monro). Initially he painted only in watercolour, but in 1796 he first exhibited an oil at the Academy, Fishermen at Sea (Tate Gallery, London), a work showing his admiration for 17th-century Dutch marine painting. Only three years later, in 1799, he was elected an Associate of the Royal Academy at the youngest permitted age (24), and in 1802 he became the youngest ever full Academician. His career flourished in terms of money as well as prestige, for he was hardworking, a good businessman, and frugal by nature (he lived rather squalidly, but he was not miserly or ungenerous, as is sometimes maintained). The Dutch influence in Turner's work soon gave way to that of Claude and Wilson, but already in the early 1800s it was recognized that he was introducing a new and revolutionary approach to landscape, his painting becoming increasingly Romantic in its dramatic subject-matter and sense of movement, as in the powerful Shipwreck (Tate Gallery, London, 1805). During these years, however, he continued exhibiting pictures in a more conventional manner and still worked for engravers (his most ambitious engraving project was his Liber Studiorum, conceived in emulation of Claude's Liber Veritatis and intended to show the range of his own work; between 1807 and 1819 he issued 71 of a projected 100 plates). Turner made his first journey to the Continent in 1802, during a temporary peace in the war with France, visiting Paris like so many other artists to see pictures looted by Napoleon, which were then on exhibition. From Paris he travelled on to Switzerland. The resumption of war made Continental travel impossible for more than a decade, and Turner did not go abroad again until 1817, when he visited Belgium. Holland, and the Rhine. He first visited Italy two years later, and from then until 1845 made fairly regular journeys abroad (including three more to Italy, the last in 1840). Unlike his contemporary Constable, who concentrated on painting the places he knew best, Turner was inspired to a great extent by what he saw on his travels (he lived in London all his life, but the city appears fairly infrequently in his paintings). The mountains and lakes of Switzerland and the haunting beauty of Venice, in particular, provided him with an enduring fond of subjects. On his journeys he was in the habit of making rapid pencil jottings, which he used later as reminders for imaginative compositions. He was inspired by history (especially ancient history) and literature as well as nature. Many of the paintings he exhibited at the Royal Academy were accompanied by verses printed in the catalogue, and from 1800 he added lines he had composed himself. From the 1830s Turner's painting became increasingly free, with detail subordinated to general effects of colour and light. His work was often attacked by critics, one of his most celebrated pictures - Snow Storm: Steam-Boat off a Harbour's Mouth (Tate Gallery, London, 1842) - being dismissed as 'soapsuds and whitewash'. However, he also had many admirers, including some who regarded him as the outstanding genius of the day. His most important patron was the third Earl of Egremont (1751-1837), who was unusual among collectors of the time in buying contemporary British art (sculpture as well as painting) on a large scale. Turner had a studio at Petworth, Egremont's country house in Sussex, and several of his paintings are still to be seen there (although their ownership was transferred to the Tate Gallery in 1984). Turner's other great champion was the young Ruskin, who discovered his work in the 1830s and wrote eloquently of him in the first volume of Modern Painters, published in 1843. By this time Turner's brushwork had become breathtakingly free and some of his compositions were almost abstract, the forms dissolved in a haze of light and colour: 'He seems to paint with tinted steam, so evanescent and so airy', wrote Constable. Turner's originality lay not only in such handling of colour and light - in which he anticipated  Impressionism - but also in his use of the power, beauty, and mystery of nature to express deep human concerns. For example, The Fighting Temeraire (National Gallery, London, 1839), showing a ship that had fought at Trafalgar being towed to the breaker's yard, is a poignant elegy for a passing era. Turner always led a fairly solitary existence and late in life he became more and more of a recluse, sometimes calling himself Mr Booth (assuming the name of his mistress Sophia Booth). After his death, Ruskin destroyed many erotic drawings that he found among his works, thinking that they tainted his hero's memory. In his will Turner left plans for disposing of his considerable fortune (he wanted to found an almshouse for 'poor and decayed male artists') and for the creation of a special gallery at the National Gallery to display certain of his paintings (he had a huge stock of his work, including not only pictures that had never been sold, but also favourite paintings that he had bought back at auction). Long-forgotten relatives contested the will (which was ambiguously worded) and won the money in 1856; at the same time the Court of Chancery awarded all the works remaining in his possession at his death to the National Gallery - about 300 oils and 19,000 drawings and watercolours. Most of these are now in Clore Gallery at the Tate Gallery, but a few of Turner's most famous oils remain in the National Gallery. "
56550,Hans Haacke,1936,,
31894,Gunnar Lundberg,1903,1986,
40484,Frantz Charlet,1862,1928,
21197,Jean Puy,1876,1960,
85967,Dominik Biemann,1800,1857,
19111,Jacques Neeffs,1612,1700,
35584,Andrea Mantegna,1431,1506,"Mantegna, Andrea (1431-1506), one of the foremost north Italian painters of the 15th century. A master of perspective and foreshortening, he made important contributions to the compositional techniques of Renaissance painting. Born (probably at Isola di Carturo, between Vicenza and Padua) in 1431, Mantegna became the apprentice and adopted son of the painter Francesco Squarcione of Padua. He developed a passionate interest in classical antiquity. The influence of both ancient Roman sculpture and the contemporary sculptor Donatello are clearly evident in Mantegna's rendering of the human figure. His human forms were distinguished for their solidity, expressiveness, and anatomical correctness. Mantegna's principal works in Padua were religious. His first great success was a series of frescoes on the lives of St. James and St. Christopher in the Ovetari Chapel of the Church of the Eremitani (1456; badly damaged in World War II). In 1459 Mantegna went to Mantua to become court painter to the ruling Gonzaga family and accordingly turned from religious to secular and allegorical subjects. His masterpiece was a series of frescoes (1465-74) for the Camera degli Sposi (“bridal chamber”) of the Palazzo Ducale. In these works, he carried the art of illusionistic perspective to new limits. His figures depicting the court were not simply applied to the wall like flat portraits but appeared to be taking part in realistic scenes, as if the walls had disappeared. The illusion is carried over onto the ceiling, which appears to be open to the sky, with servants, a peacock, and cherubs leaning over a railing. This was the prototype of illusionistic ceiling painting and was to become an important element of baroque and rococo art. Mantegna's later works varied in quality. His largest undertaking, a fresco series on the Triumphs of Caesar (1489, Hampton Court Palace, England), displays a rather dry classicism, but Parnassus (1497, Louvre, Paris), an allegorical painting commissioned by Isabelle d'Este, is his freshest, most animated work. His work never ceased to be innovative. In Madonna of Victory (1495, Louvre), he introduced a new compositional arrangement, based on diagonals, which was later to be exploited by Correggio, while his Dead Christ (Pinacoteca di Brera, Milan) was a tour de force of foreshortening that pointed ahead to the style of 16th-century Mannerism. One of the key artistic figures of the second half of the 15th century, Mantegna was the dominant influence on north Italian painting for 50 years. It was also through him that German artists, notably Albrecht Dürer, were made aware of the artistic discoveries of the Italian Renaissance. He died in Mantua on September 13, 1506. "
98139,Recuay,,,
116977,Deysi Chango Salazar,,,
35711,Tamarind Lithography Workshop,,,
63171,Paul Thiry,1904,,
40611,Gottfried Bernhard Goetz,1708,1774,
104049,Han Tianheng,,,
59060,"Tiffany Furnaces (Corona, New York, NY)",,,
45043,Isaac Ruprecht,1652,1678,
115208,Peter Berg,1885,1959,
35341,Warren Krupsaw,1942,,
26097,James Thornhill,1675,1734,
34100,William R. Current,1923,1986,
105658,Ah Maxam,,,
8086,I. Falkoff,,,
31752,Pravoslav Kotík,1889,1970,
116424,Ashley  Gillanders,,,
113626,Steve Wolfe,1955,2016,
34550,Antonio Frasconi,1919,,
33295,Navajo (Diné),,,
17230,Hannes Meyer,1889,1954,
33780,Francis Joseph Bruguière,1879,1945,
34045,Robert Cottingham,1935,,
46680,Style of Charles Le Brun,1619,1690,
44347,Shirley Julian,1914,1995,
43482,William B. Heyer,1776,1828,
116131,Guilliam Dujardin,,,
31247,Anna Maria Garthwaite,1689,1763,
36428,Antoine Louis Romanet,1742,1815,
112871,Hosai Shugetsu,,,
41515,George Frost,1744,1821,
47838,Jason Greenberg,,,
44717,Abelardo Morell,1948,,
31617,Luis Jimenez,1940,2006,
30905,Cesare Agostino Detti,1847,1914,
34946,Utagawa Hiroshige,1797,1858,
41846,Juan Cristobal,,,
42769,Juan González,1945,1993,
40754,"Giuseppe Porta, called Giuseppe Salviati",1520,1575,
42293,Unknown Lombard,1690,1809,
9228,Axeli Gallen-Kallela,1865,1931,
24045,Shuri,,,
37393,Yoshida Hiroshi,1876,1950,
29227,Yang Jin,1644,1776,
54717,Kaigetsudo Dohan,,,
55805,Frans Greenwood,1680,1763,
22938,"Iseya Sanjiro, Eiko Do",,,
97223,Heidi Norton,1977,,
26428,Utagawa Toyokuni I,1769,1825,
