place_of_origin,country
Cuba,Cuba
Hungary,Hungary
Gmunden,Austria
Hanau,Germany
Bath,United Kingdom
North Korea,North Korea
Ica Valley,Peru
Ocucaje,Peru
Mediterranean Region,
Northern Peru,Peru
Northern France,France
Pompeii,Italy
Deccan,United Kingdom
Uttar Pradesh,India
Nestórion,Greece
Asia,
Saint Petersburg,Russia
Romania,Romania
Oak Park,United States
Andhra Pradesh,India
Dhodhóni,
Bow,United Kingdom
Arles,France
Varages,France
Kríti,India
Alcora,Spain
Lucca,Italy
Schleswig-Holstein,Germany
Caucasus,Georgia
Bangladesh,Bangladesh
Orléans,France
Valley of Mexico,Mexico
Connecticut,United States
Myanmar,Myanmar
Rey,Iran
Thailand,Thailand
Saveh,Iran
Bihar,India
Uzbekistan,Uzbekistan
Plains,United States
Central Plains,United States
Old Cairo,Egypt
Colima state,Mexico
Damascus,Syria
Pacific Islands,United States
Central Europe,
Northern Netherlands,Netherlands
Southern Germany,Germany
Bordeaux,France
Manchester,United Kingdom
Frankfurt am Main,Germany
Cork,Ireland
Lahore,Pakistan
Yucatan Peninsula,Mexico
Liberia,Liberia
Pittsburgh,United States
Sandwich,United Kingdom
Campeche state,Venezuela
Veraguas,Panama
Burano,Italy
Limbach-Oberfrohna,Germany
County Kildare,Ireland
Mali,Mali
Northern Italy,Italy
Midwest,United States
Los Angeles,United States
Valenciennes,France
Algeria,Algeria
Bavaria,Germany
Saltillo,Mexico
Ludwigsburg,Germany
Nyon,Switzerland
South Central Veracruz,Mexico
Liverpool,United Kingdom
Bloomfield Hills,United States
Jordan,Jordan
Nagapattinam,India
Saint-Louis-lès-Bitche,France
Brescia,Italy
Navajo,United States
Fürstenberg,Germany
Henan,China
Cologne,Germany
Bucharest,Romania
Reykjavík,Iceland
Serbia and Montenegro,Serbia
Czechoslovakia,Czechia
Tehran,Iran
Sevilla province,Spain
Madeira region,Portugal
Guatemala,Guatemala
Winterthur,Switzerland
Kodumbalur,India
Lithuania,Lithuania
Budapest,Hungary
Northern China,China
Eurasia,
Java,Indonesia
Bolbec,France
Eastern Mediterranean Region,
Arabian Peninsula,Saudi Arabia
Bundi,India
Tamil Nadu,India
Veracruz Llave,Mexico
Northeastern Massachusetts,United States
Limoges,France
Urbania,Italy
Faenza,Italy
Gubbio,Italy
Kotzebue,United States
Deruta,Italy
Valencia,Spain
Murano,Italy
Brooklyn,United States
South Bend,United States
Hartford,United States
Provence,France
Coalport,United Kingdom
Carchi,Ecuador
Cameroon,Cameroon
Malta,Malta
Gotha,Germany
Zürich,Switzerland
Indonesia,Indonesia
Kashmir,India
Náxos,Greece
Mulhouse,France
Hanley,United Kingdom
Salamanca,Spain
Venezuela,Venezuela
Catalonia,Spain
La Salle County,United States
Peoria,United States
Corona,United States
Vineland,United States
Guápiles,Costa Rica
Granada,Spain
North Africa,
Sicily,Italy
Bristol,United Kingdom
Saint-Rémy-de-Provence,France
Nuenen,Netherlands
Roxbury,United States
Veneto,Italy
New Brunswick,Canada
New Haven,United States
Newburyport,United States
Nantucket Island,United States
Soltanabad,Iran
Northwestern Iran,Iran
West Willington,United States
Nevers,France
Jaipur,India
Shanxi,China
Long Island,United States
Jamaica,Jamaica
Argentina,Argentina
Northern Europe,Belarus
Antwerp,Belgium
Salem,United States
Birmingham,United Kingdom
Detroit,United States
Montpellier,France
Thanjavur,India
San Tomás Chichicastenango,
Ocongate,Peru
Totonicapán,Guatemala
Quezaltenango,Argentina
Sololá department,
Sacatepéquez,Guatemala
Santiago Atitlán,Guatemala
San Martín Jilotepeque,Guatemala
Huehuetenango,Guatemala
San Pedro Sacatepéquez,Guatemala
San Juan Sacatepéquez,Guatemala
Sacatepéquez department,Guatemala
San Juan Comalapa,Guatemala
Tactic,Guatemala
San Cristóbal Totonicapán,Guatemala
Palín,Slovakia
Cobán,Guatemala
Venado Beach,Colombia
San Blas,France
Nantucket,United States
Bethlehem,Israel
Saint Louis,United States
East Windsor Hill,United States
Saratoga Springs,United States
Woodstock,United States
Mathura,India
Hunan,China
Berlin,Germany
Manhattan,United States
Milwaukee,United States
Palestine,Palestinian Territories
Great Britain,United Kingdom
Costa Rica,Costa Rica
New Hampshire,United States
"Michigan Avenue, 430 South",United States
East Greenville,United States
Ueno,Japan
East Cambridge,United States
Kansas,United States
Prague,Czech Republic
Saxony,Germany
Lunéville,France
Grand Rapids,United States
Schleswig,Germany
Riesengebirge,Czech Republic
Lauenstein,Germany
Höchst,Germany
Silesia,United States
Reggio di Calabria,Italy
Heiligenkreuz-Gutenbrunn,Austria
Potsdam,Germany
Libourne,France
Long Beach,United States
Flecken Zechlin,Germany
Franconia,United States
Thuringia,Germany
Dresden,Germany
Western Germany,Germany
Rhineland,United States
Kassel,Germany
Alta Verapaz department,Guatemala
Northern Germany,Philippines
San Antonio Aguas Calientes,Guatemala
Escuintla,Guatemala
La Paz department,Bolivia
Eastwood,United Kingdom
Kazakhstan,Kazakhstan
Bonampak,Mexico
Glasgow,United Kingdom
Corning,United States
New Orleans,United States
Buffalo,United States
Eastern Europe,Poland
Saint Ives,United States
Macau,China
Southern Italy,Philippines
Park Ridge,United States
Colorado Springs,United States
Lowestoft,United Kingdom
The Hague,Netherlands
Dublin,Ireland
Cobridge,United Kingdom
Slovakia,Slovakia
Northern region,Ghana
Cincinnati,United States
Vietnam,Vietnam
Sawankhalok,Thailand
Hainaut province,Belgium
Ródhos,Australia
Beauvais,France
North and Central America,
Sierra Leone,Sierra Leone
Miraflores,Colombia
Sierra Nevada de Santa Marta,Colombia
Kentucky,United States
"Michigan Avenue, 540 North",United States
Riverside,United States
Rochester,United States
Torrington,United States
Bulgaria,Bulgaria
Innsbruck,Austria
Askov,United States
Central America,Australia
Guerrero state,Venezuela
Mainz,Germany
Meuse,France
Ghent,Belgium
Benin,Benin
Ecuador,Ecuador
Eastern India,India
Épinay-sur-Seine,France
Newark,United States
Albany,United States
New Jersey,United States
New Zealand,New Zealand
Oakland,United States
Värmdölandet,Sweden
Stockholm,Sweden
Seattle,United States
Stoke on Trent,United Kingdom
Strasbourg,France
Delfland,Netherlands
Hesse-Kassel (Landgraviate) (historic region),
Veio,Taiwan
Turkestan,Kazakhstan
Wilkes-Barre,United States
Yerushalayim district,Israel
North Carolina,United States
East Orange,United States
Poughkeepsie,United States
Padua,Italy
Buen Retiro,Venezuela
Kyushu,Japan
Colorado,United States
Oregon,United States
Kyoto,Japan
Wisconsin,United States
Southwest,Cameroon
Malmö,Sweden
Kalmar,Sweden
Fayetteville,United States
Zeeland,Netherlands
Marblehead,United States
Seo de Urgel,Spain
Valencia region,Philippines
Dinant,Belgium
South Staffordshire,United Kingdom
Peruvian Central Coast,
Arizona,United States
Kéa,Greece
Bengal,United States
Wilmington,United States
Shiraz,Iran
Lucknow,India
Venezia province,Italy
Venetian Republic,Italy
Karnataka,India
New Lebanon,United States
Jersey,United States
Southern Illinois,United States
Tennessee,United States
Sumatra,Indonesia
Talavera de la Reina,Spain
San Francisco,United States
Naumburg,Germany
Salzburg,Austria
Clichy,France
Saint-Louis,United States
Liège,Belgium
Maryland,United States
Aprey,France
New Bedford,United States
Michigan,United States
Taunton,United Kingdom
Eastern Massachusetts,United States
Marshfield,United States
Warsaw,Poland
Piraeus,Greece
Berks County,United States
Umbria,Italy
Manheim,United States
Ise-wan,Poland
Mishima,Japan
Texas,United States
Portland,United States
Nayarit state,Venezuela
South Africa,South Africa
Concarneau,France
Munster,Ireland
Maine,United States
Malaysia,Malaysia
Copenhagen,Denmark
Baccarat,France
Mantua,Italy
City of London,United Kingdom
Moscow,Russia
Latvia,Latvia
San Ildefonso Pueblo,United States
Cracow,Australia
Hatfield,United Kingdom
Wicklow,Ireland
Norwich,United Kingdom
Helsinki,Finland
Western Mexico,Mexico
Attu Island,United States
Taiwan,Taiwan
Bukhara,Uzbekistan
Stoke-on-Trent,United Kingdom
Passau,Germany
Vulci,Italy
Bhutan,Bhutan
Lancaster,United States
Central Park,United States
Sun Valley,United States
Mills Pond,United States
Gardiner,United States
Levant,United States
Latin Kingdom of Jerusalem,
Uhrichsville,United States
South Boston,United States
Portsmouth,United Kingdom
Sri Lanka,Sri Lanka
Honduras,Honduras
Burgos province,Country Not Found
Hawaii,United States
Barbados,Barbados
"Michigan Avenue, 320 North (apartment building)",Country Not Found
Illinois Institute of Technology,United States
Bahamas,Bahamas
"Sanders Road, 2215",United States
Saqqara,Egypt
Thebes,United States
Nottingham,United Kingdom
Southeast Asia,Indonesia
Oude Amstel,Netherlands
Loosdrecht,Netherlands
Oneida County,United States
Florida,United States
Nimrud,Iraq
Lakeview,United States
Lawrence,United States
Petén department,Guatemala
Nicoya,Costa Rica
Los Santos province,Spain
Tenochtitlan,Mexico
Alsace,France
Eastern Java,Kenya
Rajasthan,India
Pinxton,United Kingdom
Longport,United States
Minnesota,United States
Wrotham,United Kingdom
River Edge,United States
Ancient Egypt,Singapore
East Liverpool,United States
Ancient Near East,
Iowa City,United States
Cleveland,United States
Lake Forest,United States
Mexico City,Mexico
Weesp,Netherlands
Saint-Cloud,France
United States Capitol,United States
Urbana,United States
Williams Bay,United States
Scottsville,United States
Northeast,Vietnam
El Paso,United States
San Diego,United States
Chester,United Kingdom
Frascati,Italy
Tucson,United States
Georgia,Georgia
Dedham,United States
Edmonds,United States
"Michigan Avenue, 230 North",United States
Herat,Afghanistan
Sussex,United States
Burnham Park,United States
Stourbridge,United Kingdom
Battersea,United Kingdom
Bilston,United Kingdom
Varamin,Iran
Darmstadt,Germany
Lésvos,Greece
Sporádhes department,Greece
Skíros,Greece
Cyclades,Greece
Patmos,Greece
Villalcázar de Sirga,Spain
Mason City,United States
Bloomington,United States
Alfred,United States
Harper Woods,United States
Watervliet,United States
Enfield,United Kingdom
Decatur County,United States
Mesopotamia,Iraq
Canberra,Australia
Weisswasser,Czechia
Doccia,Italy
Greensburg,United States
Rutland,United Kingdom
Manlius,United States
"Michigan Avenue, 435 North",United States
Cedar Rapids,United States
Madison,United States
Palm Beach,United States
Dwight,United States
"Dearborn Street, 30-32 North",United States
"Washington Street, 59 West",United States
Pullman,United States
Crowleytown,United States
Hammonton,United States
Keene,United States
Glassboro,United States
New London,United States
Saint Charles,United States
Iznik,Turkey
Bangor,United States
Strasburg,France
Swinton,United Kingdom
Columbus,United States
La Salle,United States
Dorchester,United Kingdom
Jalisco state,Venezuela
Winchester,United Kingdom
Dahestan,Iran
Kittery Point,United States
Norwalk,United States
Raeren,Belgium
"Linden Avenue, 415 North",United States
Berrien Springs,United States
Melbourne,Australia
Feltre,Italy
Jiangxi,China
North America,North America
"Astor Street, 1350 North (apartment building)",United States
Tournai,Belgium
Montelupo Fiorentino,Italy
Kent,United Kingdom
Mount Clemens,United States
Avadh,India
Skokie,United States
"Randolph Street, 62 East",United States
Rhenen,Netherlands
Nashua,United States
Swansea,United Kingdom
Bladensburg,United States
Kingston,Jamaica
Fishkill,United States
Amsterdam,Netherlands
Friesland,Germany
Frankfurt an der Oder,Germany
Neuwied,Germany
Southwark,United Kingdom
Genoa,Italy
Castelli,Italy
Trouville,France
Wheeling,United States
Armenia,Armenia
Pacheco,United States
Cambridge,United Kingdom
Millville,United States
Normandy,France
Northwest Coast,Spain
Alaska,United States
Madhya Pradesh,India
Southern Veracruz,Mexico
Arkansas,United States
Asia Minor,Turkey
Hizen (former province),Japan
Guangdong,China
Polis,Cyprus
Magdeburg,Germany
Bañolas,Spain
Lisbon,Portugal
Regensburg,Germany
Lucerne,Switzerland
Lille,France
Klodzko,Poland
Angers,France
Sankt Gallen,Switzerland
Chard,France
Bern,Switzerland
Waterford,Ireland
Chicago Transit Authority-O'Hare Station,United States
Fort Wayne,United States
Wokingham,United Kingdom
Niagara Falls,Canada
Rhine,Germany
Highland Park,United States
Winnetka,United States
"LaSalle Street, 375 North",United States
Sarasota,United States
Capistrano Beach,United States
Lubbock,United States
Twickenham,United Kingdom
Bedford Center,United States
Rocky River,United States
Asheville,United States
Ocean Springs,United States
Edgerton,United States
Southern Highlands,Papua New Guinea
Nievería,Peru
Alti Plano,Peru
Pisco Valley,United States
Unknown,
Thessaloníki,Greece
Samsun,Turkey
Austria-Hungary,Austria
Valais canton,Brazil
Lindau,Germany
Caen,France
Tübingen,Germany
Sheffield,United Kingdom
Youngstown,United States
"Madison Street, 29 East",United States
Poznan,Poland
White Mountain,United States
Concord,United States
Erfurt,Germany
Paraguay,Paraguay
Xi Hu,Hungary
Ravenna,Italy
Oak Brook,United States
Dessau,Germany
Navy Pier,United States
"Canal Street, 165 North",United States
Topeka,United States
Stony Brook,United States
Aspen,United States
"Randolph Street, 100 West",United States
Lincoln Park Zoo Large Mammal Complex,United States
"Wacker Drive, 55 East",United States
Pasadena,United States
Luxor,Egypt
Arundel,United Kingdom
Royal Tunbridge Wells,United Kingdom
Fond du Lac,United States
Northeastern France,France
Kathmandu Valley,Nepal
West Bengal,India
East Germany,Germany
"Lake Street, 128 West",United States
Hyderabad,India
South Carolina,United States
Dornburg,Germany
New Harmony,United States
Hong Kong,China
Puerto Rico,United States
Meriden,United States
Batavia,Indonesia
Edinburgh,United Kingdom
"Jackson, 1000 East",United States
"Ridge Road, 722",United States
"Meacham Road, 645 South",United States
Park Forest,United States
Roselle,United States
Ikere,Nigeria
Mont-Saint-Michel,France
Soissons,France
Vicenza,Italy
Pisa,Italy
Amalfi,Italy
"Michigan Avenue, 866 North",United States
Evanston,United States
"State Street, 3360 South",United States
Mogadore,United States
Taxco,Mexico
"Lakeview Avenue, 2400 North",United States
60th Street at Cottage Grove Avenue,United States
Wilmette,United States
Aurora,United States
Eastern Tibet,China
Gujarat,India
Usak,Serbia
Angola,Angola
Ukraine,Ukraine
Toronto,Canada
"Michigan Avenue, 875 North",United States
Fontainebleau,France
Wichita,United States
"Cornell Avenue, 5346 South",United States
Arlington Heights,United States
"Sheridan Road, 3400 North (apartment building)",United States
Oshkosh,United States
Titusville,United States
Ellison Bay,United States
São Paulo,Brazil
Washington,United States
Castlemorton,United Kingdom
Kenosha,United States
Champaign,United States
Lake Minnetonka,United States
Rotterdam,Netherlands
Albany County,United States
Cranbrook Academy of Art,United States
Berkeley,United States
"Michigan Avenue, 18 South",United States
Western Europe,
Solingen,Germany
Stirling,United Kingdom
Northern Spain,Philippines
Greenwich,United Kingdom
Uri canton,Switzerland
Western Iran,Iran
Graz,Austria
Teschen,Poland
Ripoll,Spain
Central Asia,
Dundee,United Kingdom
Carlsbad,United States
Maastricht,Netherlands
O'Hare International Airport,United States
"Plymouth Court, 531 South",United States
Richard J. Daley Plaza,United States
Santa Fe,Argentina
"Michigan Avenue, 400 North",United States
Utrecht,Netherlands
Haarlem,Netherlands
Manises,Spain
Limburg,Netherlands
Cahors,France
Bologna,Italy
Independence,United States
Gmünd,Austria
Central Java,Indonesia
East Stoke,United Kingdom
Weiden in der Oberpfalz,Germany
Neukölln,Germany
Newcastle-upon-Tyne,United Kingdom
Alsace-Lorraine,France
Berea,United States
Jacksonville,United States
Hindon,India
Zoar,United States
Wednesbury,United Kingdom
Usumacinta,Mexico
"Madison Street, 1214-1222 West",United Kingdom
"Dearborn Street, 159-169 North",United States
"Dearborn Street, 140 South",United States
Andalusia,Spain
New Paltz,United States
Salt River Canyon,United States
Mysia,Australia
Luxembourg,Luxembourg
Kili,Marshall Islands
L'Aquila,Italy
New Hope,United States
"Michigan Avenue, 224 South",United States
Mühlau,Germany
Landshut,Germany
Brescia province,Peru
Tyrol,Austria
Ulm,Germany
Geneva,Switzerland
Wien state,Germany
Suhl,Germany
Madrid,Spain
Rossiya republic,Russia
India subcontinent,India
Ancient Europe,
Doune,United Kingdom
Burgundy,France
Glendale,United States
Estonia,Estonia
Miami,United States
Central Mexico,Mexico
El Tajín,Mexico
Lenox,United States
Dunfermline,United Kingdom
Saint Paul,United States
Benicia,United States
Bowling Green,United States
Westfield,United States
Chipping Campden,United Kingdom
Santa Monica,United States
Michoacán state,Mexico
Barrington,United States
Kansas City,United States
Murshidabad,India
Isla de Janitzio,Mexico
Malibu,United States
Monterey,United States
Ipswich,United Kingdom
Plainfield,United States
West Germany,Germany
Crayford,United Kingdom
Erie,United States
Delavan Lake,United States
Cheyenne River Sioux,
Versailles,France
Marches,Italy
Cerro Blanco,Mexico
Albuquerque,United States
Fern Creek,United States
Sámos,Greece
Greater Athens,Greece
Afghanistan,Afghanistan
Sapulpa,United States
Odisha,India
Midwest City,United States
Norman,United States
Las Vegas,United States
Bartlesville,United States
"Ellis Avenue, 2789 South",Australia
Jodhpur,India
Kota,India
Sleepy Hollow,United States
Camp Parks,United States
Caracas,Venezuela
Central California,United States
Laos,Laos
Penland,United States
Greenpoint,United States
Barnoldswick,United Kingdom
Northern California,Albania
Manistique,United States
"Lake Shore Drive, 2300 South",Australia
Edmond,United States
Tulsa,United States
Michigan Avenue at 24th Street,United States
Trenton,United States
Guerneville,United States
Tenafly,United States
Quakertown,United States
Kenilworth,United States
Winona,United States
Soldiers' Club,United States
Oberursel,Germany
Shangyu,China
"Kenridge Drive, 6970",United States
"Morse Avenue, 1221 West",United States
Western Tibet,China
Megalópolis,Germany
Mantinea,Greece
Aegina,Greece
Sigacik,Turkey
Conway,United States
"Sheridan Road, 5555 North",United States
South Shore Park,United States
World's Columbian Exposition,United States
Grant Park,United States
Remojadas,Mexico
Düsseldorf,Germany
Middleton,Canada
"LaSalle Street, 209 South",United States
"Coonley Road, 336",United States
Ogden Avenue Bridge House,
Tuscany,Italy
John F. Kennedy International Airport,United States
Chicago Heights,United States
Central Tibet,Colombia
Southern Tibet,China
Seoul,South Korea
Himachal Pradesh,India
Northfield,United States
West Bend,United States
Jersey City,United States
Trier,Germany
"Lakeview Avenue, 2450 North",Canada
Barcelona,Spain
Atlanta,United States
"State Street, 1255 North (apartment building)",United States
Steubenville,United States
Glenview,United States
Weimar,Germany
"Randolph Street, 64 West",United States
Cross River,Nigeria
Swaziland,Eswatini
Lisle,France
Hyde Park,United Kingdom
Dallas,United States
Art Institute of Chicago,United States
"Michigan Avenue, 744 North",United States
81st Street at Cottage Grove Avenue,United States
Monaco,Monaco
Ronchamp,France
"Swanson Street, 113",United States
"Dundee Avenue, 647 South",Australia
River Forest,United States
"Elder Lane, 472",United States
Woodland Avenue,United States
"Washington Street, 12-14 West",United States
Lena,Russia
Colima,Mexico
Glencoe,United States
Tokyo,Japan
"Woodlawn Avenue, 5622 South",Australia
Rockford,United States
Michigan Avenue,United States
Acropolis,Greece
"Madison Street, 78-84 West",United Kingdom
Quincy,United States
El Portal,United States
Canton,United States
Buckingham Fountain,United States
Gulf of Mexico,Gulf of Mexico
Madurai,India
Kerala,India
Ede,Netherlands
Madagascar,Madagascar
Northern Laos,Laos
Mill Valley,United States
Serbia,Serbia
Swat,Pakistan
Pakistan,Pakistan
Bali,Indonesia
Uttaranchal,India
"LaSalle Street, 102-116 South",United States
Republic of the Congo,Congo-Brazzaville
Bedford,United States
Chicago Yacht Club,United States
Libertyville,United States
"State Street, 1 South",United States
Great Lakes Region,United States
"Huron Street, 161 East",United States
York Harbor,United States
New Castle,United States
Borneo,Indonesia
Northern India, India 
District of Columbia,United States
Montréal,Canada
Merchandise Mart,United States
Nagarjunakonda,India
Brown Deer,United States
River Hills,United States
Ottawa,Canada
Morris Plains,United States
Middletown,United States
Saugatuck,United States
South Park Botanical Garden, United States
Mount Prospect,United States
Isla de Ometepe,Nicaragua
Senegal,Senegal
Loch Vale,Switzerland
"Lawndale Avenue, 2620 South",United States
"Elm Street, 300 North",United States
Rwanda,Rwanda
Turin,Italy
Mozambique,Mozambique
Block 37,United States
Kenya,Kenya
Niger,Niger
Tunisia,Tunisia
West Virginia,United States
Middle Atlantic,Panama
"Randolph Street, 188 West",United States
Abiquiu,United States
Lake George,United States
Ethiopia,Ethiopia
Chavín de Huantar,Peru
Wrightwood Avenue House, United States
Lake Bluff,United States
Sheridan Road,United States
"River Road, 333 East",United States
"Lake Shore Drive, 1300 South",United States
"Cityfront Plaza, 450 North",United States
"McDonalds Plaza, 1",United States
Sceaux,France
Swadlincote,United Kingdom
"Harrison Street, 630 West",United States
"Monroe Street, 30 West",United States
"Park Avenue, 390", United States
"Chicago Avenue, 303-311 East",United States
Broadway at 62nd Street,United States
"Cannon Drive, 2200 North", United States
Northbrook, United States
Chiang Mai province,Thailand
Soviet Union,Austria
Guinea-Bissau,Guinea-Bissau
Pyramid Lake Indian Reservation, United States
Alabama,United States
Canosa di Puglia,Italy
Chippewa Falls,United States
Ealing,United Kingdom
Kohler,United States
"Michigan Avenue, 1936 South",United States
"Fair Oaks Avenue, 540",United States
Jahangirabad,Iran
"12th Place, 554 West", United States
Lincoln Park Zoo,United States
"Green Bay Road, 1724 South",United States
"East Avenue, 504 North",United States
"Maxwell Street, 1006-1010",United Kingdom
"Lake Shore Drive, 860-880 North (apartment buildings)", United States
Southern England,United Kingdom
"Erie Street, 60 West",United States
Midway Airport,United States
Mobile,United States
Boca Raton,United States
Maluku,Indonesia
Timor,Indonesia
Little Rock,United States
Sulawesi,Indonesia
Elgin,United States
Surakarta,Indonesia
Cirebon,Indonesia
West Palm Beach,United States
Singaraja,Indonesia
East Timor,East Timor
Gary,United States
Phoenix,United States
"Van Buren Street, 140 West",United States
Cook County,United States
"Desplaines Street, 140 South",United States
Hinsdale,United States
Flossmoor,United States
Hano,United States
Dayton,United States
Fairfax County,United States
Savannah,United States
Dordrecht,Netherlands
Denver,United States
Uganda,Uganda
Haiti,Haiti
Tacoma,United States
The West,United States
Palo Alto,United States
Houston,United States
Springfield,United States
La Porte,United States
Macclesfield,United Kingdom
Tanzania,Tanzania
Tlapacoyan,Mexico
Montenegro,Montenegro
Oklahoma,United States
Albania,Albania
Lampung,Indonesia
Zambia,Zambia
Zimbabwe,Zimbabwe
Park Avenue,United States
Bessarabia,Ukraine
Edgefield county,United States
Flemish Brabant,Belgium
Yemen,Yemen
South Korea,South Korea
Shanghai,China
Princeton,United States
Green Bay,United States
Waltham,United States
Perth Amboy,United States
Hamburg,Germany
Galveston,United States
Boston Architectural Center,United States
Lowell,United States
Middlebury,United States
"Ville de Paris, Départment de", France
Northern Illinois,United States
Ravinia,United States
Santa Clara Pueblo,United States
Ariel,Palestinian Territories
Korean Peninsula,South Korea
South Asia,Singapore
Kobe,Japan
Shiprock,United States
Sankt Gallen canton,Switzerland
"Hopi, First Mesa",United States
Keams Canyon,United States
Santo Domingo Pueblo,United States
Delhi,India
Anatolia,Turkey
Canterbury,United Kingdom
Shropshire,United Kingdom
Long Branch,United States
Montpelier,United States
Saint Johnsbury,United States
Dubai,United Arab Emirates
Teotihuacán,Mexico
Ithaca,United States
Sudan,Sudan
Davenport,United States
Des Moines,United States
White House,United States
Cairo,Egypt
Baalbek,Lebanon
Botswana,Botswana
Burr Ridge,United States
Carlisle,United Kingdom
Richmond,United States
Duluth,United States
Lebanon,Lebanon
Bar Harbor,United States
Bridgeport,United States
Glens Falls,United States
Auburn,United States
Toledo,Spain
Lafayette,United States
Charleston,United States
Amfípolis,Greece
Leiden,Netherlands
Leipzig,Germany
